,Product name ,Product Price,Product Link,Shipping Price
0,$1227 L'Afshar Women Clear Leon Translucent Box Chain Shoulder Clutch Bag,$343.98,https://www.ebay.com/itm/334527141279?hash=item4de35f159f%3Ag%3Ab7AAAOSwr41i8Xle&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$90.10 shipping
1,Louis Vuitton M67250 Monogram Yamamoto Hirosai Tatsuma-Kabuki Zippy Wallet,$550.00,https://www.ebay.com/itm/235032714355?hash=item36b90a9c73%3Ag%3APbYAAOSwzvFkhfXK&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$41.62 shipping
2,Louis Vuitton M67640 Monogram Giant Portefeuille Zoe Khaki Trifold Wallet w Box,$599.00,https://www.ebay.com/itm/335110079948?hash=item4e061e05cc%3Ag%3An3EAAOSwaExlS8EP&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$79.38 shipping
3,Louis Vuitton Bifold Long Wallet Brown Monogram M60034 Portefeuille Sarah,$790.00,https://www.ebay.com/itm/334763199988?hash=item4df1710df4%3Ag%3As%7EgAAOSwmiFkJxvN&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$48.70 shipping
4,Louis Vuitton XS Shoulder Bag Crossbody M95717 Monogram Mahina Bronze Perforated,$990.00,https://www.ebay.com/itm/266261364394?hash=item3dfe69feaa%3Ag%3AOu4AAOSwjs5kgMmV&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$83.40 shipping
5,$1595 Authentic Gucci GG0144S 004 Women Pink Square Mirror Sunglasses 56/14/135,$510.78,https://www.ebay.com/itm/334173672969?hash=item4dce4d9609%3Ag%3A2uIAAOSwt0NhaYlb&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$58.70 shipping
6,Chloe Faye Shoulder Crossbody Bag Leather Black Leather Leopard Print,$650.00,https://www.ebay.com/itm/334585114657?hash=item4de6d3b021%3Ag%3A-L0AAOSwnF1jP08s&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$114.92 shipping
7,Montblanc Sartorial Blue Thin Document Case Men's Bag Pre-Owned,$999.99,https://www.ebay.com/itm/155863469008?hash=item244a2fcbd0%3Ag%3A1I4AAOSwaExlQqQ5&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$39.99 shipping
8,Celine Lefebure Emma Pink Leather Saddle Shoulder Bag,$544.99,https://www.ebay.com/itm/145224383918?hash=item21d00c3dae%3Ag%3AGxIAAOSwNodkzACx&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$49.00 shipping
9,"35"" L HERMES Belt Reversible  Epsom 32mm Mexico Rose RougeH Burgundy GOLD Buckle","$1,856.00",https://www.ebay.com/itm/155661367311?hash=item243e23f80f%3Ag%3A-PcAAOSwsd5iycMk&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$59.00 shipping
10,Chloé Eyewear Square Frame Sunglasses CH0070SK 003,$329.99,https://www.ebay.com/itm/155709462001?hash=item244101d5f1%3Ag%3AQocAAOSwGbRk0mhq&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$49.00 shipping
11,$1245 Authentic Cartier CT0225S 002 Women's Gold Square Sunglasses 60-16-140,$348.78,https://www.ebay.com/itm/225215613592?hash=item346fe58a98%3Ag%3At0UAAOSwVEhjUspX&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$53.92 shipping
12,$1190 Christian Louboutin Women Black Leather Clutch Phone Wallet Belt Hand Bag,$331.98,https://www.ebay.com/itm/334359147556?hash=item4dd95bb424%3Ag%3AxmgAAOSwIvFiKhIK&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$89.75 shipping
13,$2351 Tom Ford Women's Black Leather Shoulder Double T Handle Purse Tote Bag,$494.95,https://www.ebay.com/itm/325232196676?hash=item4bb9597c44%3Ag%3A7NMAAOSwIRViq0GH&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$98.82 shipping
14,$1750 Jimmy Choo Italy Women's Black Bon Bucket Leather Logo Purse Hand Bag,$439.98,https://www.ebay.com/itm/325488463407?hash=item4bc89fce2f%3Ag%3A6pEAAOSwbCRjtwu8&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$97.20 shipping
15,Coach 1941 Rogue 25 Tea Rose Bag Midnight Navy Blue 58840 Handbag Floral,$899.00,https://www.ebay.com/itm/266245816603?hash=item3dfd7cc11b%3Ag%3AkBQAAOSwCBFkVBIn&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$113.79 shipping
16,$1500 GIVENCHY Women's White Blue Leather Perforated Bag Purse,$420.38,https://www.ebay.com/itm/334608459735?hash=item4de837e7d7%3Ag%3AbI4AAOSwT%7EJjW-7l&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$96.62 shipping
17,$1595 Edie Parker Womens Red Acrylic Wolf Ribbon Mirror Box Case Clutch Hand Bag,$446.78,https://www.ebay.com/itm/225575811600?hash=item34855dba10%3Ag%3A7WgAAOSw9PBiK483&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$110.21 shipping
18,$1296 Edie Parker Women's Silver Glitter Star Top-Handle Vanity-Mirror Box Bag,$362.78,https://www.ebay.com/itm/325114953613?hash=item4bb25c7f8d%3Ag%3AZCUAAOSwarliO0Fy&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$94.92 shipping
19,$1395 Proenza Schouler Women Off-White Black Leather Ruched Shoulder Tote Bag,$391.98,https://www.ebay.com/itm/334528095003?hash=item4de36da31b%3Ag%3A-zwAAOSwoahi8r8D&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$95.78 shipping
20,Louis Vuitton PALLAS CERISE Monogram MM Cherry Red Bag Purse SHOULDE Bag PALLACE,"$2,469.15",https://www.ebay.com/itm/155661367269?hash=item243e23f7e5%3Ag%3AdUEAAOSwJh5lhd6i&_trkparms=%2526rpp_cid%253D64ba3dd356318a9866be5c44,$79.99 shipping
